EDAD;UNIVERSIDAD;CARRERA;GRADO_ACADEMICO;PROB_GRADUACION
24;Universidad de Costa Rica;Dirección de Empresas;Licenciatura;1.0
23;Universidad de Costa Rica;Dirección de Empresas;Licenciatura;0.0
22;Universidad de Costa Rica;Contaduría Pública;Licenciatura;0.0
28;Universidad de Costa Rica;Enseñanza del Inglés como Lengua Extranjera;Licenciatura;1.0
19;Universidad de Costa Rica;Geografía;Licenciatura;0.0
30;Universidad de Costa Rica;Arquitectura;Licenciatura;1.0
24;Universidad de Costa Rica;Medicina y Cirugía;Licenciatura;0.9
21;Universidad de Costa Rica;Ingeniería Electromecánica Industrial;Licenciatura;0.0
22;Universidad de Costa Rica;Diseño Gráfico;Licenciatura;0.0
21;Universidad de Costa Rica;Diseño Plástico énfasis Diseño Pictórico;Licenciatura;0.0
26;Universidad de Costa Rica;Inglés;Bachillerato;0.7459674393677892
22;Universidad de Costa Rica;Inglés;Bachillerato;0.8762804506718809
26;Universidad de Costa Rica;Biología;Licenciatura;0.03
25;Universidad de Costa Rica;Informática Empresarial;Bachillerato;0.8979876524468051
26;Universidad de Costa Rica;Informática Empresarial;Bachillerato;0.8865949239008376
22;Universidad de Costa Rica;Informática Empresarial;Bachillerato;0.8058971770140779
21;Universidad de Costa Rica;Informática Empresarial;Bachillerato;0.24601984126984125
29;Universidad de Costa Rica;Informática Empresarial;Bachillerato;0.8813090230804325
20;Universidad de Costa Rica;Informática Empresarial;Bachillerato;0.0
22;Universidad de Costa Rica;Química;Licenciatura;0.0
26;Universidad de Costa Rica;Dirección de Empresas;Licenciatura;1.0
18;Universidad de Costa Rica;Dirección de Empresas;Licenciatura;0.0
21;Universidad de Costa Rica;Dirección de Empresas;Licenciatura;0.0
32;Universidad de Costa Rica;Dirección de Empresas;Licenciatura;1.0
20;Universidad de Costa Rica;Administración Pública;Licenciatura;0.0
20;Universidad de Costa Rica;Administración Aduanera y Comercio Exterior;Licenciatura;0.0
21;Universidad de Costa Rica;Contaduría Pública;Licenciatura;0.0
18;Universidad de Costa Rica;Contaduría Pública;Licenciatura;0.0
24;Universidad de Costa Rica;Gestión Ecoturística;Licenciatura;0.0
20;Universidad de Costa Rica;Gestión Ecoturística;Licenciatura;0.0
36;Universidad de Costa Rica;Archivística;Licenciatura;0.92
20;Universidad de Costa Rica;Ciencias Políticas;Licenciatura;0.0
22;Universidad de Costa Rica;Historia;Licenciatura;0.0
25;Universidad de Costa Rica;Historia;Maestría;0.0
20;Universidad de Costa Rica;Psicología;Licenciatura;0.0
21;Universidad de Costa Rica;Psicología;Licenciatura;0.0
26;Universidad de Costa Rica;Ciencias de la Educación Primaria;Bachillerato;0.6948213650384701
25;Universidad de Costa Rica;Educación Matemática;Licenciatura;0.07
19;Universidad de Costa Rica;Educación Matemática;Licenciatura;0.0
30;Universidad de Costa Rica;Gerencia Agroempresarial;Maestría;0.14942796092796093
18;Universidad de Costa Rica;Geografía;Licenciatura;0.0
20;Universidad de Costa Rica;Geografía;Licenciatura;0.0
20;Universidad de Costa Rica;Ingeniería Civil;Licenciatura;0.0
21;Universidad de Costa Rica;Ingeniería Civil;Licenciatura;0.0
31;Universidad de Costa Rica;Ingeniería de Transporte y Vías;Maestría;0.1
24;Universidad de Costa Rica;Ingeniería Topográfica;Licenciatura;0.028333333333333332
19;Universidad de Costa Rica;Ingeniería Topográfica;Licenciatura;0.0
25;Universidad de Costa Rica;Ingeniería Topográfica;Licenciatura;0.5908333333333331
24;Universidad de Costa Rica;Ingeniería Industrial;Licenciatura;1.0
23;Universidad de Costa Rica;Ingeniería Agrícola y de Biosistemas;Licenciatura;0.01
20;Universidad de Costa Rica;Ingeniería Agrícola y de Biosistemas;Licenciatura;0.0
18;Universidad de Costa Rica;Ingeniería Agrícola y de Biosistemas;Licenciatura;0.0
24;Universidad de Costa Rica;Imagenología Diagnóstica y Terapéutica;Licenciatura;0.6519047619047619
23;Universidad de Costa Rica;Salud Ambiental;Licenciatura;0.0
22;Universidad de Costa Rica;Farmacia;Licenciatura;0.0
23;Universidad de Costa Rica;Enfermería;Licenciatura;1.0
23;Universidad de Costa Rica;Administración Aduanera y Comercio Exterior énfasis Comercio Internacional;Licenciatura;0.09
18;Universidad de Costa Rica;Administración Aduanera y Comercio Exterior énfasis Comercio Internacional;Licenciatura;0.03
22;Universidad de Costa Rica;Ciencias de la Comunicación Colectiva énfasis Comunicación Audiovisual y Multimedial;Licenciatura;0.0
19;Universidad de Costa Rica;Ciencias de la Educación Primaria énfasis Inglés;Bachillerato;0.0
